Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ethiopia,13,14,17,17,9,16,14,15,21,27,47,22,20,23,14,14,30,12,9,19,17,14,20
FaeroeIslands,6,13,10,5,5,18,23,33,41,31,31,34,0,0,0,0,0,0,0,0,0,0,0
Fiji,2,4,4,4,16,8,10,9,13,7,10,11,8,8,11,10,13,15,16,11,7,12,14
Finland,100,97,114,149,225,266,437,553,685,687,721,445,774,1085,1015,928,882,998,1011,974,927,986,1003
France,5121,5385,6134,7722,9095,9470,10285,11945,13269,11767,12026,12858,12561,13425,13730,12792,13284,13799,15023,15041,14834,16683,15267
FrenchPolynesia,0,0,61,51,46,47,51,56,70,64,71,56,58,46,17,10,23,0,0,0,0,0,0
Gabon,78,96,96,115,110,186,0,155,278,253,159,239,356,250,281,122,0,0,0,0,0,0,0
"Gambia,The",0,0,0,1,1,1,1,15,3,8,58,91,66,70,25,21,18,18,19,19,18,27,21
Georgia,21,20,19,22,24,27,27,32,51,34,55,77,87,88,86,96,100,122,151,170,77,106,290
Germany,8663,9185,10127,11566,12607,12706,12705,14079,15236,15336,14682,16126,15581,19977,15463,14321,14686,16466,18075,17778,15684,17621,17104
Ghana,6,6,0,0,0,0,0,0,0,0,0,0,8,5,9,2607,1549,1112,956,667,727,813,953
Greece,545,536,412,379,497,902,982,1459,1912,1845,1932,1942,1437,1291,1424,1870,1800,2083,2287,2666,2725,2938,2937
Grenada,1,1,1,1,1,1,1,2,2,1,2,2,2,2,44,48,48,52,55,56,50,48,52
Guatemala,56,32,82,86,34,42,46,17,27,22,21,27,28,28,26,23,19,18,19,18,19,20,24
Guinea,27,37,18,46,48,60,52,39,56,45,41,39,51,81,36,26,34,28,23,83,23,44,135
Guinea-Bissau,0,0,5,6,5,5,4,4,17,20,20,30,25,35,37,38,24,48,57,98,79,89,0
Guyana,27,24,53,50,81,55,48,61,72,86,128,138,184,123,122,132,138,139,142,149,130,197,153
Haiti,11,19,22,31,39,60,76,96,117,135,167,240,232,248,249,247,266,298,309,285,549,678,725
Honduras,9,12,11,12,17,0,2,2,37,27,27,33,36,41,42,41,41,261,288,330,292,344,339
"HongKongSAR,China*",225,309,299,317,321,348,377,388,393,413,483,554,607,656,711,759,817,875,934,997,909,905,901
Hungary,301,315,392,484,582,697,798,1000,1119,896,860,914,863,858,869,677,782,863,1094,1381,1255,1310,1440
Iceland,23,14,21,19,28,54,82,115,101,68,67,73,66,73,95,85,140,325,356,377,291,341,387
India,486,751,1187,1265,1653,1348,1562,2059,3812,2890,3829,4078,4963,6432,6222,4883,5623,6959,6782,7532,7011,8181,10089
Indonesia,0,0,0,0,913,1179,1359,1654,1971,2702,2840,3164,3634,3951,4119,4605,5151,5177,5148,5071,4547,4343,4636
Iraq,0,0,0,0,0,83,781,17,31,27,48,78,548,484,599,539,350,396,500,664,581,852,633
Ireland*,0,0,0,0,0,1440,1853,2520,2673,2551,2266,2195,954,910,934,704,694,1613,725,754,624,536,2132
Israel,3255,3039,2781,2502,2218,2206,2381,2824,3679,3465,3769,4251,4220,4837,4837,4733,5004,5873,5902,5910,5550,6544,7614
Italy,1945,1897,2062,2514,2689,2588,2464,2870,14445,14402,12883,14510,11821,11566,11136,8860,8678,8842,9907,9577,10195,12287,11586
