Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DominicanRepublic,1839,1982,2194,2325,2501,2719,3054,3397,3606,3415,3887,4241,4262,4486,4810,5196,5508,6178,6818,7421,8332,10743,10278,10500
Ecuador,1322,1421,1438,1633,1838,2460,2934,3341,3089,2742,2599,2681,2476,2459,2472,2388,2612,2849,3039,3243,3344,4367,4748,5148
"Egypt,ArabRep,",2852,2911,2893,2961,3341,5017,5330,7656,8694,7150,12453,14324,19236,17833,19570,18325,18590,24737,25516,26781,29603,31487,28333,24200
ElSalvador,1764,1924,1953,2121,2563,3029,3483,3709,3755,3402,3472,3644,3914,3966,4160,4275,4562,4996,5392,5657,5931,7476,7693,8142
Eritrea,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,4,11,19,42,155,255,392,381,416,340,357,439,461,565,544,457,486,505,570,542,507,590,470,470
Eswatini,57,53,44,65,83,95,96,95,90,93,55,64,89,75,96,96,98,144,126,119,112,132,126,120
Ethiopia,53,18,33,46,134,174,172,358,387,262,436,538,624,833,1796,1087,772,393,436,480,404,448,510,592
FaroeIslands,43,39,40,44,49,80,89,109,137,139,146,158,158,158,158,158,158,158,158,158,158,158,158,158
Fiji,43,78,99,124,173,203,205,183,147,171,176,161,191,204,221,252,272,279,290,287,317,394,459,500
Finland,473,491,477,526,667,692,715,806,959,866,894,756,862,1073,1069,865,861,908,841,842,598,667,594,600
France,8870,9194,10599,12232,13343,14205,15535,17586,20086,19665,19898,22942,22666,24412,25358,24067,24042,24885,26229,30025,28752,32832,33928,34000
FrenchPolynesia,0,0,408,509,598,557,622,689,763,728,651,722,633,672,660,564,582,582,582,582,582,582,582,600
Gabon,6,5,3,6,7,11,0,14,21,14,38,22,23,17,29,18,18,18,18,18,18,18,18,18
"Gambia,The",0,0,0,54,61,59,64,56,65,80,116,91,106,110,138,154,146,160,212,276,416,547,547,628
Georgia,206,219,226,248,359,446,627,883,1065,1112,1184,1547,1770,1945,1986,1459,1521,1794,2034,2258,2110,2644,3854,4500
Germany,3604,3883,4654,5748,6516,6864,7484,9767,10974,12345,12789,15337,14637,16396,17049,15566,15192,17692,18903,18339,19320,20784,19288,19000
Ghana,32,46,44,65,82,99,105,117,126,114,136,2135,2155,1864,2008,4982,2980,3536,3521,4054,4292,4168,4633,4893
Greece,2194,2015,1660,1565,1243,1220,1543,2483,2687,2022,1499,1187,681,805,735,509,417,401,490,676,611,689,601,530
Grenada,24,24,25,25,48,27,28,29,29,28,28,29,29,30,41,43,45,47,48,63,70,69,58,49
Guatemala,596,634,1600,2147,2628,3067,3700,4236,4426,4002,4225,4533,4965,5304,5751,6482,7363,8394,9438,10656,11405,15408,18203,19855
Guinea,1,9,15,111,42,42,30,15,62,52,46,65,66,93,121,131,52,45,28,158,23,344,527,558
Guinea-Bissau,0,10,18,23,28,20,26,43,49,49,46,52,46,64,92,85,56,105,128,151,175,206,206,184
Guyana,27,22,51,99,153,201,218,278,274,262,368,412,469,328,330,303,269,322,334,380,429,548,548,549
Haiti,578,624,676,811,932,986,1063,1222,1370,1376,1474,1551,1612,1781,1977,2196,2359,2614,2966,3026,3455,4196,4196,4247
Honduras,474,610,801,865,1169,1805,2358,2614,2821,2477,2618,2811,2920,3098,3370,3666,3864,4323,4777,5401,5589,7203,8485,8800
"HongKongSAR,China",136,153,121,120,240,297,294,317,355,348,340,352,367,360,372,387,399,437,425,451,427,453,414,408
Hungary,363,364,444,467,633,732,859,976,1312,1575,1850,2305,3148,4160,4203,3954,4171,4124,4405,4892,3951,3799,3589,3613
