"Bilateral Remittance Estimates for 2021 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (December 2022 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across)                                                              -                                                 Remittance-sending country (down) ,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,WORLD
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,18
St. Vincent and the Grenadines,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,4
Cabo Verde,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,3,,0,0,,0,0,,,,,,0,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,0,,,,0,,,,,6,,,,,,,,,,0,,,3,,,,1,,,,0,,4,,,0,,,,,,,,,1,,,,,,,,,0,,,,,0,,,,,,,,,,0,,0,1,,,,,,,,,,,28
Curacao,,,,,,,0,0,,2,,,,,,,,,3,,,,,,,,,,,,,,,,0,,,,,,2,13,,,,,,,,,,,,,0,39,,,,,,,,,,,,2,,,,,1,,,,0,,,,,0,4,,0,,,3,0,,,,,,0,4,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,33,,,,,,,,,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,1,,,,,,,,,,0,,,,,,,,,0,1,,,,,,,,,,,117
Liberia,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,0,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,26,,,,,,11,0,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,0,35,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,0,,,,,,,,2,0,,,,,,0,,,,,,,,,,,0,1,,,,,,,,,,,100
French Polynesia,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,327,,,,,2,,,,,,,,,,,,,,,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,2,,,,,,,,337
Gabon,,,0,,,0,,,,,,,,,,,,,14,,18,,,,,,,,,3,0,,,29,0,,,,,,1,,,8,,,1,,,,,,,,,,,,,,,,,,,,,235,,,,,0,25,,,,,,3,,,,,,,,,,,,,,0,,,0,,,,,,1,,,,,,15,,,,,,,,,,,,50,,,,,,,,,,,2,,,,,,,,,,227,,,,,,,,,,,,,,,,,,0,,,2,,93,,,,,,,,,,0,,,,,,,,,,,,,,,,,32,,,0,,,,,,,,,1,,,,,,,,,,,761
Central African Republic,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,7,,,,,,,0,,0,,,,,0,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,0,,,0,0,,,,,,,8,,0,1,,,,,,0,,,,0,,,,,,,,1,,,,,,,,,,,167
Lebanon,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,499,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,5,4,,23,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,3,,,,,,4,,,,,,0,,,,,1,,,,,,,,,,,,0,,7,,,,,1,,,,,,,,,,,,,0,,,,,0,,0,1,,,,,,,389,,,,957
Sri Lanka,0,,,,,,,,,,1,,,,,2,,,,,,,0,,,,,,,,,,,,0,,,,,,10,,,,,,,,,,1,,,,,,,1,,,,,,,,,0,4,,,,,3,,0,,,,,,,,0,,,,,45,1,,0,,,1,16,,5,1,,,,,2,,0,,,,4,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,,0,,,,,,0,0,4,,,,,,,,0,,8,,0,,,,,1,,,0,,,,,,,,0,,0,,,,,,,,1,1,,,,2,,,,,,0,,,,,,,1,1,,,,,,,,,,,124
Dominica,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0,,,,,,,,,0,4,,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,,,,,,,,,0,,,,,,,,,1,1,,,,,,,,,,,13
Latvia,0,0,0,,,,,0,1,,0,1,3,,,0,,29,4,,,,,,0,,0,,0,,,,,0,0,,,,,0,2,0,,,,,,0,,,0,1,1,,,,,1,,,,8,,,,,1,5,,,,4,12,,0,,,,,,,,,,,1,0,6,,,0,0,,3,1,,0,,0,,,,0,,,3,,,0,,,,,16,0,,,,,,,0,,,,0,,3,,1,,0,,,,0,1,,0,,,0,0,,2,,1,,,,,0,0,1,0,,,0,93,,,,,0,,0,,,,,0,0,,,0,,1,1,,,,,,,3,1,,3,,0,,,,,0,0,,,,,93,,3,1,,,,,1,,,,,,315
Tunisia,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,9,,,,,,,,,,133,,,,,8,,,,,,,,,,,,,,,,,,0,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,16,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,192
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,,,,,,,,,,,,,0,30,,,,,,,,,,,,,,,,,,,,,0,,,,,0,4,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,0,,,,,,,,,,,,3,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,99
Ghana,,,0,,,,,,,,0,,,,,,,,,,6,,,,,,0,,,23,,,,0,0,,,,,,1,,,0,,,19,,,,,,,,,,,0,,,,,,0,,,,4,,,4,,,,,,,,,0,,,,,,,,4,,,,,,1,1,,0,,,0,,,,,,,,,7,,26,,,,,,,,,,4,,,0,,,,,,,,,,,,,1,,,,10,662,,,,,0,,,,,,0,0,,,,,0,0,,,,,0,,,2,,,,,,,,,,0,,,,,0,,,1,,,0,,,115,,,,,,,,,,,1,2,,,,,,,,,,,895
Lithuania,0,0,0,,,0,,0,1,0,0,1,1,,,0,,31,9,0,,,,0,0,,0,,0,,0,0,0,0,0,0,,,,0,1,0,0,0,,0,0,0,,,0,1,4,,,0,0,1,0,,,2,,0,,0,1,10,,,0,2,14,0,0,,0,,0,0,0,0,0,0,,1,0,4,0,,0,0,,6,2,0,0,0,0,0,,,0,0,0,2,0,19,0,,0,,,,1,,0,0,0,0,0,0,,0,0,0,,3,,0,0,0,0,0,0,0,1,,0,0,,1,0,,12,0,0,,0,,0,0,1,2,0,,0,1,43,0,0,,,0,0,0,0,,,,0,0,,0,0,0,6,0,,,,,0,0,7,1,,3,0,0,,,0,0,0,0,,,,0,93,,7,2,0,,,,0,,0,,0,0,302
Papua New Guinea,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,23,,,0,,,,,2,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,6,,,,,,0,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,0,,,,0,,,,,,,,,,1,2,,,1,,,,,,,,53
Guyana,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,,,,,,,,,0,,,,,,,,,0,2,,,,,,,,,,,10
Uruguay,,,,,,,,27,,,,,,,,,,,,,,,,,,,28,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,9,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,2,2,,,1,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,220
Uganda,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,3,,,,0,,,,,,1,,,190,,,0,,,,,,1,,,,,,,,,,,1,,,,3,,,,,1,,0,,,,,,,,,,,0,,12,,,,,,,1,,1,,,154,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,0,,,0,,4,,,,,,,,,,,,0,46,,,,,,,,,,,,,,18,,357,0,,,,,,24,,0,,,,21,,,0,,,,,,,,,,,1,2,,,,,,,,,0,0,844
Senegal,,,3,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,0,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,209,,,11,,5,6,,,,,,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0,,,,,,,,,,24,,,51,,,,,,,,10,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,0,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,,2,,,,,,,,,,,405
St. Lucia,,,,,,,0,,,0,0,0,,,,,,,0,,,,,,,,0,,,,,,,,0,0,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,7,,,,,0,0,,,0,,0,,,2,0,,,,,1,,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,0,,,,,1,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,0,,0,,0,,,,,,,,0,,,,,,,,,1,2,,,,,,,,,,,16
Mongolia,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,48,,,,,,,,,,,0,,,,,,,,,,,,,,,0,1,,,,,1,,,,,,,,,,,,,0,,0,,,,0,,,0,,3,,0,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,1,0,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,0,2,,,,,1,,,,,,68
Slovenia,0,0,0,,,0,,0,0,0,1,17,0,,,0,,0,9,0,0,0,,0,186,0,0,,1,0,0,0,0,0,0,,,,,0,6,0,,0,,0,0,199,,,0,2,0,,0,1,0,1,0,,,0,0,0,,0,0,17,,0,0,0,41,0,0,,,,0,0,0,0,0,0,,2,0,2,0,,0,0,,1,14,0,1,0,0,0,,,0,79,0,0,0,0,0,,0,,,0,1,,0,0,0,0,0,0,,,0,0,,1,,0,20,0,0,0,0,0,1,,0,0,,1,18,,0,0,0,,0,0,0,0,1,1,0,,0,1,4,0,,,0,0,0,150,,0,,,3,,,0,0,,1,0,,0,,,0,,3,4,,0,0,3,,0,,0,0,0,,,,0,9,,1,2,0,,,,0,,0,,0,0,811
Botswana,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,20,,,1,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,24,,,,0,,,2,,,,,7,,,,,,,,,,1,,,,,,,1,2,,,,,,,0,,,,,,,,0,,1,,2,,,,,12,,,1,,2,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,5,,,2,,,,,,,4,,,,1,,,,,,,,,,,0,,,1,2,,,,,,,,,5,94,197
Cameroon,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,78,,0,,,2,,0,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,,,,,,0,,,,15,1355,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,1480
Barbados,,,,,,,0,,,,0,,,,,,,,,0,,2,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,5,0,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,4,,0,,,,,,,,,,1,,,,,,,,,2,2,,,,,,,,,,,24
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,45
"Korea, Dem. Rep.",,,,,,,,,,,0,,,,,0,,,,,,,,,,,5,,,,,,,,0,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,,,,,,,,1,,,,,,19,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,13,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,4,,,,,,,,,,,,,0,2,,,,,3,,,,,,178
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,2,,2,,,,2,,,11,,,,,,,0,,,,7,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,26,,,,79
Namibia,0,,0,,,1,0,0,0,,1,4,,,,0,,,5,,0,,,,,1,1,,0,0,0,,,0,0,,,,,0,14,,,3,,,0,,,,,0,1,,,,,1,,,,,1,0,,,0,8,,,0,,51,1,,,,,,0,,,,,,,,3,0,,,0,,2,3,,1,,,6,,,0,,,,,,0,0,,,,,1,,,0,,,,,,,0,,,,,,,,0,,,,1,,0,,,9,,,0,,1,,,,,,1,0,1,,,0,0,0,,,,,0,,0,0,,,,,,0,8,,2,,,,,,0,,1,2,,,2,1,,,,,,0,,,,1,1,,1,3,,,,,,,,,3,19,167
Tanzania,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,16,,,,0,,,,,,,,0,35,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,,,,,,,,,,,,,,,27,,,,,,,2,,,,,110,,,,,,,,,,0,,,,,,,,4,,,,,,,0,,,,,,,,6,,0,,,,,,,,,,,,2,,,,,,,,,,,,,0,,,,,,,0,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,3,,,,,,,,,6,1,225
Zambia,,,,,,0,,,,,0,,,,,,,,,,,,,,,1,,,,,1,,,0,0,,,,,,5,,,26,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,21,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,9,,,0,,,,,,,,,,,,1,,1,,,,,,,5,,,,,,,,,,,,,,,,,,7,,,,,0,,,,,,,,,,3,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,1,3,,,,,,,,,,17,119
Estonia,0,0,0,,,0,0,0,1,,0,1,2,,,1,,8,8,,0,0,0,0,0,0,1,,0,,,0,0,0,0,,,,,0,2,0,,0,,0,0,0,,,0,1,1,,,0,0,2,0,,,,,0,,0,17,14,,,0,5,13,0,0,,,,0,0,,0,,0,,1,0,5,0,,0,0,,2,4,0,1,0,0,0,,,0,0,0,2,,21,0,,0,,,3,1,,0,,0,,0,0,,0,0,1,,2,,0,0,0,0,0,0,1,1,,0,0,,9,0,,2,0,2,,0,0,0,0,1,1,1,,0,1,105,0,,,,0,0,0,,0,,,1,0,,0,0,,4,0,0,0,,,0,0,9,1,,2,0,1,0,0,0,0,0,0,,,,0,76,,1,3,0,,,,0,,0,,0,0,347
Northern Mariana Islands,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,73
Serbia,,1,0,,,,,0,0,,1,44,,,,,,0,6,,,,,,441,,0,,1,,,,,,0,,,,,,8,,,,,,,1290,,,1,2,1,,,,,1,,,,,,,,,0,80,,,,0,88,0,1,,,,,,,,,,,8,,1,0,,0,0,,2,6,,0,1,0,,,,0,,0,,,,0,,,,,0,2,,,,,,,0,,,,0,,0,,,390,0,,,,,2,,0,,,,40,,0,,,,,,,0,0,1,0,,,7,3,,,,,,,,,,,,2,51,,,0,,1,,,,,,,,12,13,,,,,,,,,0,0,,,,,4,,0,3,,,,,,,0,,0,0,2517
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8
Croatia,,0,0,,,,,0,,,2,30,,,,,,0,10,,,,,0,519,,0,,0,,,,,,1,,,,,0,2,0,,,,,,,,,,4,0,,,,,2,,,,0,,,,,0,24,,,,,171,,0,,,,,,,,,,,4,,0,0,,0,0,,1,9,,0,0,0,,,,0,,,,,0,0,,,,,0,1,,,,,,,,,,,0,,0,,,33,0,,,,,2,,0,,,0,8,,0,,,,,,,0,0,1,0,,,1,1,,,,,,,233,,,,,3,84,,,0,,1,,,,,,0,,6,12,,,,,,,,,,0,,,,,2,,0,4,,,,,,,0,,0,,1176
Haiti,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,1,2,,,,1,,,,,,,,,,14,,,,,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,51
Bahrain,0,,,,,,,,,,,,,,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,1,,,,28,,,,,,,,,,,,,,,,,,,,1833,67,,,,,,,,,106,,,,,,,1,,,,31,,,,,,,,,,,,,,,,,,,,,,,3,,,,9,1,,,,,20,,,,,543,,,,,,327,,,,8,,,,,,,1,,,,,,,,,,1,,5,,34,,,,,9,,,,,,,11,,,,,1,1,,,,,,,2,4,,,,,,,6,,,,4192
Mali,0,2,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,18,,,,1,,,,,,0,17,,,1,,,50,5,,,,,,,,,,6,,,,,,,,,,108,,3,2,,,20,,,0,,,16,0,,,,,,,0,,,,,,32,,,5,,0,,,,,,,,,,,,1,,,,,,,,,,,,,27,,,,,,,,2,,,,,,,,,15,34,,,,,,,,,,,,,,,,,0,0,,,,1,57,,,1,,,,,,,1,,,,,,,,0,,,,,,1,4,,4,,,,,,,,,,,0,4,0,,,,,,,,1,,443
Paraguay,,,,,,,,50,,,,,,,,,,,,,,,,1,,,144,,,,,,,,1,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,10,,,,,,,,,,,,,,,,,,,,,,3,,14,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,,,,,,,,,,265
Morocco,,,10,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,555,,,,,8,,,,,,,1,,,,,,,,,,,0,,,,6,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,5,,,,,,,,1,5,,,,,,,,,,,688
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5,,,,,,,,,,,52
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,5,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,6,,,,,1,,,,,,38
Jordan,0,,0,,,,,,0,,0,1,,,,29,,,2,,,,,,0,,0,,0,,,,,,0,,,,,,88,0,,,,,,0,,,1,0,0,,,,,716,,,,,,0,,,,6,,,,,4,0,0,,,,,,,,,,0,3,,24,33,,47,0,,33,1,,1,,0,,,,0,,0,,,,11,,,,,,,,,,0,,,,,0,,,,0,,,,2,,0,,0,0,,0,,,0,0,,0,1,13,,,,,,17,0,,,6,1,1,,,,,4,,0,,,,,0,,,1,0,0,2,30,,,,,3,,1,1,,,,1,,,,,0,0,,,,,1,,1,6,,,,,,,1868,,,,2960
Iceland,0,0,0,,,0,,0,0,0,0,1,0,,,0,,0,6,0,0,0,,0,0,0,1,,0,0,0,0,0,0,0,,,,,0,4,1,,0,,0,0,4,,,0,3,18,0,0,0,0,1,0,,,1,,0,,0,1,14,,,0,0,12,1,0,,,,0,0,0,0,0,0,,3,,2,0,,0,0,,1,2,0,1,0,0,1,,,0,1,0,0,0,7,0,,0,,,4,5,,0,0,0,0,0,0,,0,0,1,,0,,0,0,1,0,0,0,0,1,,0,0,,3,0,,5,0,1,,0,0,0,0,13,30,2,,0,4,0,0,,,0,0,0,3,,0,,,2,0,0,0,0,0,7,1,,,,0,0,0,22,1,,0,0,12,,0,0,0,0,0,,,,0,1,,1,6,0,,,,5,,0,,0,0,225
